=== 依存路径批处理开始 2025-09-14 16:15:22 ===
[DONE] 大型飞机发动机故障智能诊断方法研究与仿真 stats={'total_pairs': 15, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 7, 'cross_sentence_path_found': 7}
[DONE] 大型飞机机载系统预测与健康管理关键技术 stats={'total_pairs': 18, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 7, 'cross_sentence_path_found': 7}
[DONE] 大数据下数模联动的随机退化设备剩余寿命预测技术 stats={'total_pairs': 11, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 应用于飞机健康管理的数据挖掘方法研究 stats={'total_pairs': 6, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[ALIGN_FAIL] 开展学术交流  推动试验与测试、预测与故障诊断技术的发展 | 学术交流 - 推动 - 试验与测试技术 | 实体至少一端未找到
[ALIGN_FAIL] 开展学术交流  推动试验与测试、预测与故障诊断技术的发展 | 学术交流 - 推动 - 预测与故障诊断技术 | 实体至少一端未找到
[DONE] 开展学术交流  推动试验与测试、预测与故障诊断技术的发展 stats={'total_pairs': 11, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 改进FBPNN在飞机系统故障预测中的应用 stats={'total_pairs': 9, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 1, 'cross_sentence_path_found': 1}
[DONE] 故障率预测的稀疏直接支持向量回归机方法 stats={'total_pairs': 11, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 故障预测与健康管理系统建模技术研究 stats={'total_pairs': 5, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 数字孪生五维模型及十大领域应用 stats={'total_pairs': 18, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 10, 'cross_sentence_path_found': 10}
[DONE] 数字孪生体及其在智慧管网应用的可行性 stats={'total_pairs': 19, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 9, 'cross_sentence_path_found': 9}
[DONE] 数字孪生卫星概念、关键技术及应用 stats={'total_pairs': 17, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 数据挖掘技术在航空发动机PHM中的应用 stats={'total_pairs': 9, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 新一代航空电子故障预测与健康管理系统综述 stats={'total_pairs': 13, 'aligned_pairs': 13, 'path_found': 13, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 新一代航空电子综合化及预测与健康管理技术 stats={'total_pairs': 8, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 无人作战飞机自主控制技术研究 stats={'total_pairs': 4, 'aligned_pairs': 2, 'path_found': 2, 'cross_sentence_pairs': 2, 'cross_sentence_path_found': 2}
[DONE] 智能推进NASA推进控制研究进展 stats={'total_pairs': 20, 'aligned_pairs': 11, 'path_found': 11, 'cross_sentence_pairs': 9, 'cross_sentence_path_found': 9}
[DONE] 智能航空发动机——本体智能化技术概述 stats={'total_pairs': 8, 'aligned_pairs': 2, 'path_found': 2, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 有人机无人机协同作战机群PHM顶层架构 stats={'total_pairs': 10, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 3, 'cross_sentence_path_found': 3}
[DONE] 机载导弹发射装置PHM系统总体设计 stats={'total_pairs': 8, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 3, 'cross_sentence_path_found': 3}
[DONE] 机载无线传感网络技术的发展与应用 stats={'total_pairs': 4, 'aligned_pairs': 2, 'path_found': 2, 'cross_sentence_pairs': 2, 'cross_sentence_path_found': 2}
[DONE] 机载燃油测量系统PHM测试床设计及故障注入实现 stats={'total_pairs': 9, 'aligned_pairs': 9, 'path_found': 9, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 机载航电系统射频信道健康表征及影响评估 stats={'total_pairs': 8, 'aligned_pairs': 8, 'path_found': 8, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 机载预测与健康管理(PHM)系统的体系结构 stats={'total_pairs': 8, 'aligned_pairs': 2, 'path_found': 2, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 某地区民航空勤人员健康状况分析 stats={'total_pairs': 19, 'aligned_pairs': 10, 'path_found': 10, 'cross_sentence_pairs': 9, 'cross_sentence_path_found': 9}
[DONE] 民机PHM预测维修模式在空调系统的应用 stats={'total_pairs': 12, 'aligned_pairs': 5, 'path_found': 5, 'cross_sentence_pairs': 7, 'cross_sentence_path_found': 7}
[DONE] 民用航空发动机故障诊断与健康管理现状、挑战与机遇Ⅰ：气路、机械和FADEC系统故障诊断与预测 stats={'total_pairs': 10, 'aligned_pairs': 4, 'path_found': 4, 'cross_sentence_pairs': 6, 'cross_sentence_path_found': 6}
[DONE] 民用航空发动机故障诊断与健康管理现状、挑战与机遇Ⅱ：地面综合诊断、寿命管理和智能维护维修决策 stats={'total_pairs': 10, 'aligned_pairs': 3, 'path_found': 3, 'cross_sentence_pairs': 7, 'cross_sentence_path_found': 7}
[DONE] 民用飞机健康管理决策的不确定性分析 stats={'total_pairs': 9, 'aligned_pairs': 6, 'path_found': 6, 'cross_sentence_pairs': 3, 'cross_sentence_path_found': 3}
[DONE] 民用飞机维修间隔风险评估方法研究 stats={'total_pairs': 12, 'aligned_pairs': 12, 'path_found': 12, 'cross_sentence_pairs': 0, 'cross_sentence_path_found': 0}
[DONE] 民用飞机高升力系统先进技术及发展 stats={'total_pairs': 11, 'aligned_pairs': 7, 'path_found': 7, 'cross_sentence_pairs': 4, 'cross_sentence_path_found': 4}
